"Name","Location","Type","Namespace","Source"
"graphicCharacterInstanceSetMeshSegmentHide","0063bfb0","Function","Global","User Defined"
"graphicCharacterInstanceSetSkeletonMatrices","0063c020","Function","Global","User Defined"
"graphicCharacterInstanceSetSkeletonMatricesRestoreDefault","0063c180","Function","Global","User Defined"
"graphicCharacterInstanceSetVisible","0063c550","Function","Global","User Defined"
"graphicCharacterLightingSetLightColor","0063ccc0","Function","Global","User Defined"
"graphicCharacterLightingSetLightDir","0063cd10","Function","Global","User Defined"
"graphicCharacterLightingSetShadeCoeff","0063cf90","Function","Global","User Defined"
"graphicCharacterLightingSetShadeCoeffUnused","0063d080","Function","Global","User Defined"
"graphicCharacterLightingSetShadeColor","0063d200","Function","Global","User Defined"
"graphicCharacterLoad","0063d2f0","Function","Global","User Defined"
"graphicCharacterLoadClothMesh","0063d410","Function","Global","User Defined"
"graphicCharacterUnload","0063db50","Thunk Function","Global","User Defined"
"graphicCheckChrClusterRelationship","0063db70","Function","Global","User Defined"
"graphicClearSpecialRenderList","0063dc70","Function","Global","User Defined"
"graphicClothMemPrintStats","0063df70","Function","Global","User Defined"
"graphicDeActivateLoadingScreen","0063dff0","Function","Global","User Defined"
"graphicDestroyFmv","0063e0e0","Function","Global","User Defined"
"graphicDrawUIAbmapElement","0063eae0","Function","Global","User Defined"
"graphicDrawUIElement","0063f090","Function","Global","User Defined"
"graphicDynGeoMemManagerGetBufferForSegment","0063ff60","Function","Global","User Defined"
"graphicEnableChrClusterDelayRelease","00640240","Function","Global","User Defined"
"graphicFFXApplicationEnableKeyframeAnim","00640390","Function","Global","User Defined"
"graphicFieldMapInitialize","006403b0","Function","Global","User Defined"
"graphicFieldMapLoad","006403c0","Function","Global","User Defined"
"graphicFieldMapShutdown","00640560","Function","Global","User Defined"
"graphicFieldMapUnload","00640570","Function","Global","User Defined"
"graphicFontGetEdgeRatio","00640f20","Function","Global","User Defined"
"graphicFontScreenGetWH","00640f60","Function","Global","User Defined"
"graphicFontSetUiShadowType","00640f80","Function","Global","User Defined"
"graphicFreeClothVertexBuff","00641020","Function","Global","User Defined"
"graphicGetAbmap","00641210","Function","Global","User Defined"
"graphicGetCurrentLanguageType","00641290","Function","Global","User Defined"
"graphicGetCurrentMasterVersion","006412b0","Function","Global","User Defined"
"graphicGetMiniMapType","006414d0","Function","Global","User Defined"
"graphicGetNowUIType","00641500","Function","Global","User Defined"
"graphicGuidemapSetup","00641640","Function","Global","User Defined"
"graphicGuidemapUpdate","006416a0","Function","Global","User Defined"
"graphicGuildmapCreate","006416c0","Function","Global","User Defined"
"graphicIs3DScene","00641d40","Function","Global","User Defined"
"graphicIsMiniMapInBlitzBall","00641e20","Function","Global","User Defined"
"graphicLevelAnalysisName","00641eb0","Function","Global","User Defined"
"graphicLevelGetNameHash","00641f50","Function","Global","User Defined"
"graphicLockScreenFadeColor","00641fd0","Function","Global","User Defined"
"graphicMagicSetToBeDeletePath","00642220","Function","Global","User Defined"
"graphicMenuLoadExtraTexture","00642490","Function","Global","User Defined"
"graphicMenuLoadSpecialTexture","006424b0","Function","Global","User Defined"
"graphicMenuUpdate","00642560","Function","Global","User Defined"
"graphicMinimapCameraSetWorldMatrix","006425c0","Function","Global","User Defined"
"graphicMinimapFogSetEnable","00642780","Function","Global","User Defined"
"graphicProcessPs2DataLoadingCallback","006429a0","Function","Global","User Defined"
"graphicProject3DPointOntoScreenConsider2DScene","00642aa0","Function","Global","User Defined"
"graphicRegisterResetHSVDelegation","00642bc0","Function","Global","User Defined"
"graphicSet2DStartLayer","00642f40","Function","Global","User Defined"
"graphicSetDistortionBlur","006430e0","Function","Global","User Defined"
"graphicSetDistortionEnable","00643100","Function","Global","User Defined"
"graphicSetDistortionSkipped","00643130","Function","Global","User Defined"
"graphicSetEnableRenderWorldToTexture","00643190","Function","Global","User Defined"
